"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"2026013117073533,189202,602,010,001","1/31/2026","2/1/2026","Debit","-31.89000","","1028565384","Purchase SUPERMAX DE DIEGO SI , 114 AVE DE DIEGO, SAN JUAN,","","Debit Card","47375.05000","","Purchase SUPERMAX DE DIEGO SI , 114 AVE DE DIEGO, SAN JUAN,"
"202601311707353500202,601,310,001","1/31/2026","1/31/2026","Debit","-5.00000","","1027939159","Purchase publicrecords.us , 3755 BREAKTHROUGH WAY, LAS VEGAS, NV","","Debit Card","47406.94000","","Purchase publicrecords.us , 3755 BREAKTHROUGH WAY, LAS VEGAS, NV"
"2026013017073533,755202,601,300,001","1/30/2026","1/30/2026","Debit","-37.55000","","1027939160","Purchase SUPERMAX DE DIEGO SI , 114 AVE DE DIEGO, SAN JUAN,","","Debit Card","47411.94000","","Purchase SUPERMAX DE DIEGO SI , 114 AVE DE DIEGO, SAN JUAN,"
"2026012917073536,689202,601,290,001","1/29/2026","1/29/2026","Debit","-66.89000","","1027228704","Purchase ABC*HCOA FITNESS , 501 AVE  ROBERTO H TODD, SAN JUAN, AR","","Debit Card","47449.49000","","Purchase ABC*HCOA FITNESS , 501 AVE  ROBERTO H TODD, SAN JUAN, AR"
"202601271707353694202,601,280,002","1/27/2026","1/28/2026","Debit","-6.94000","","1026824291","Purchase UBER   *TRIP , 706 MISSION ST, 8005928996, CA","Auto & Transport","Debit Card","47516.38000","","Purchase UBER   *TRIP , 706 MISSION ST, 8005928996, CA"
"202601271707353300202,601,280,001","1/27/2026","1/28/2026","Debit","-3.00000","","1026824292","Purchase UBER   *TRIP , 706 MISSION ST, 8005928996, CA","Auto & Transport","Debit Card","47523.32000","","Purchase UBER   *TRIP , 706 MISSION ST, 8005928996, CA"
"202601271707353595202,601,270,006","1/27/2026","1/27/2026","Debit","-5.95000","","1026824293","Purchase UBER   *TRIP , 706 MISSION ST, 8005928996, CA","Auto & Transport","Debit Card","47526.32000","","Purchase UBER   *TRIP , 706 MISSION ST, 8005928996, CA"
"202601271707353800202,601,270,005","1/27/2026","1/27/2026","Debit","-8.00000","","1026824295","Purchase HMS PUERTO RICO , Autoridad de Transporte, SAN JUAN,","","Debit Card","47532.27000","","Purchase HMS PUERTO RICO , Autoridad de Transporte, SAN JUAN,"
"2026012717073535,000202,601,270,004","1/27/2026","1/27/2026","Debit","-50.00000","","1026824296","Charity Young Life ID0000511225","","ACH","47540.27000","","Charity Young Life ID0000511225"
"20260127170735334,174202,601,270,003","1/27/2026","1/27/2026","Debit","-341.74000","","1026824297","Purchase PAR*STEVEN AUTO SERVICES , 366 CALLE CALZADA, SAN JUAN,","","Debit Card","47590.27000","","Purchase PAR*STEVEN AUTO SERVICES , 366 CALLE CALZADA, SAN JUAN,"
"202601271707353338,464202,601,270,002","1/27/2026","1/27/2026","Credit","3384.64000","","1026824298","PAYROLL FAST ENTERPRISES ID9111111101","","ACH","47932.01000","","PAYROLL FAST ENTERPRISES ID9111111101"
"2026012617073531,337202,601,270,001","1/26/2026","1/27/2026","Debit","-13.37000","","1026824294","Purchase Spotify P3EC0341B8 , 4 World Trade Center  1, New York, NY","Entertainment","Debit Card","44547.37000","","Purchase Spotify P3EC0341B8 , 4 World Trade Center  1, New York, NY"
"2026012617073531,114202,601,260,002","1/26/2026","1/26/2026","Debit","-11.14000","","1026258618","Purchase AMAZON.COM*DH8HD8223 , AMAZON.COM, SEATTLE, WA","","Debit Card","44560.74000","","Purchase AMAZON.COM*DH8HD8223 , AMAZON.COM, SEATTLE, WA"
"202601261707353415202,601,260,001","1/26/2026","1/26/2026","Debit","-4.15000","","1026258617","Purchase UPR PARKING SYSTEM RIO , 293AVEBARBOSAESQGANDAR, SAN JUAN,","Auto & Transport","Debit Card","44571.88000","","Purchase UPR PARKING SYSTEM RIO , 293AVEBARBOSAESQGANDAR, SAN JUAN,"
"20260125170735313,704202,601,250,004","1/25/2026","1/25/2026","Debit","-137.04000","","1026155484","Purchase COSTCO WHSE #03, BAYAMON,","Shopping","Debit Card","44576.03000","","Purchase COSTCO WHSE #03, BAYAMON,"
"2026012517073535,324202,601,250,003","1/25/2026","1/25/2026","Debit","-53.24000","","1026155486","Purchase HORNOFINO LOSFILTROS-P, BAYAMON,","","Debit Card","44713.07000","","Purchase HORNOFINO LOSFILTROS-P, BAYAMON,"
"2026012417073534,212202,601,250,002","1/24/2026","1/25/2026","Debit","-42.12000","","1026155487","Purchase GUSTOS COFFEE MIRAMA , 954 AVE PONCE DE LEON C, SAN JUAN,","","Debit Card","44766.31000","","Purchase GUSTOS COFFEE MIRAMA , 954 AVE PONCE DE LEON C, SAN JUAN,"
"2026012417073531,505202,601,250,001","1/24/2026","1/25/2026","Debit","-15.05000","","1026155488","Purchase PUEBLO MIRAMAR 116 QPS , 670 PONCE DE LEON CARIB, SAN JUAN,","","Debit Card","44808.43000","","Purchase PUEBLO MIRAMAR 116 QPS , 670 PONCE DE LEON CARIB, SAN JUAN,"
"202601241707353835202,601,240,001","1/24/2026","1/24/2026","Debit","-8.35000","","1026155485","Purchase WALGREENS STORE, CONDADO,","Health & Fitness","Debit Card","44823.48000","","Purchase WALGREENS STORE, CONDADO,"
"20260122170735339,848202,601,220,002","1/22/2026","1/22/2026","Debit","-398.48000","","1025635163","Purchase AIRBNB * HMPKJXY5J4 , 888 BRANNAN ST, 4158005959, CA","","Debit Card","44831.83000","","Purchase AIRBNB * HMPKJXY5J4 , 888 BRANNAN ST, 4158005959, CA"
"202601221707353670202,601,220,001","1/22/2026","1/22/2026","Debit","-6.70000","","1025635164","Purchase AMAZON.COM*6I02I0B23 , AMAZON.COM, SEATTLE, WA","","Debit Card","45230.31000","","Purchase AMAZON.COM*6I02I0B23 , AMAZON.COM, SEATTLE, WA"
"2026012117073531,361202,601,210,005","1/21/2026","1/21/2026","Debit","-13.61000","","1025635160","Purchase WALGREENS STORE, CONDADO,","Health & Fitness","Debit Card","45237.01000","","Purchase WALGREENS STORE, CONDADO,"
"20260121170735363202,601,210,004","1/21/2026","1/21/2026","Debit","-0.63000","","1025635161","Purchase WALGREENS STORE, CONDADO,","Health & Fitness","Debit Card","45250.62000","","Purchase WALGREENS STORE, CONDADO,"
"202601211707353700202,601,210,003","1/21/2026","1/21/2026","Debit","-7.00000","","1025635165","Purchase HACIENDA MEAT CENTER , ASHFORD CONDOMINIUM 135, SAN JUAN,","","Debit Card","45251.25000","","Purchase HACIENDA MEAT CENTER , ASHFORD CONDOMINIUM 135, SAN JUAN,"
"202601211707353700202,601,210,002","1/21/2026","1/21/2026","Debit","-7.00000","","1025635162","Purchase CENTRAL PARKING CENT , AVE PONCE DE LEON ESQ P, SAN JUAN,","Auto & Transport","Debit Card","45258.25000","","Purchase CENTRAL PARKING CENT , AVE PONCE DE LEON ESQ P, SAN JUAN,"
"2026012117073535,013202,601,210,001","1/21/2026","1/21/2026","Debit","-50.13000","","1025635166","STUDENT LN DEPT EDUCATION ID9102001002","","ACH","45265.25000","","STUDENT LN DEPT EDUCATION ID9102001002"
"2026012017073537,231202,601,200,004","1/20/2026","1/20/2026","Debit","-72.31000","","1024825904","Purchase WM SUPERCENTER #5803 , RH TODD AVE PLAZA  AND, SAN JUAN,","","Debit Card","45315.38000","","Purchase WM SUPERCENTER #5803 , RH TODD AVE PLAZA  AND, SAN JUAN,"
"2026012017073531,604202,601,200,003","1/20/2026","1/20/2026","Debit","-16.04000","","1024825902","Purchase AMAZON PRIME*EM3079JL3 , 440 Terry Ave N, SEATTLE, WA","Shopping","Debit Card","45387.69000","","Purchase AMAZON PRIME*EM3079JL3 , 440 Terry Ave N, SEATTLE, WA"
"2026012017073533,000202,601,200,002","1/20/2026","1/20/2026","Debit","-30.00000","","1024825903","Purchase TEXACO CONDADO , BALDORIOTY DE CASTRO 12, SAN JUAN,","Auto & Transport","Debit Card","45403.73000","","Purchase TEXACO CONDADO , BALDORIOTY DE CASTRO 12, SAN JUAN,"
"2026011717073535,000202,601,200,001","1/17/2026","1/20/2026","Debit","-50.00000","","1024461528","Nathan s AT&T phone bill","Bills & Utilities","Transfer","45433.73000","","Nathan s AT&T phone bill"
"202601181707353453202,601,190,001","1/18/2026","1/19/2026","Debit","-4.53000","","1024461529","Purchase WALGREENS STORE, CONDADO,","Health & Fitness","Debit Card","45483.73000","","Purchase WALGREENS STORE, CONDADO,"
"2026011817073532,688202,601,180,004","1/18/2026","1/18/2026","Debit","-26.88000","","1024461532","Purchase PAR*CALLEJEROS , AVENIDA PONCE DE LEON 6, SAN JUAN,","","Debit Card","45488.26000","","Purchase PAR*CALLEJEROS , AVENIDA PONCE DE LEON 6, SAN JUAN,"
"20260118170735311,651202,601,180,003","1/18/2026","1/18/2026","Debit","-116.51000","","1024461530","Purchase COSTCO WHSE #03, BAYAMON,","Shopping","Debit Card","45515.14000","","Purchase COSTCO WHSE #03, BAYAMON,"
"2026011817073532,230202,601,180,002","1/18/2026","1/18/2026","Debit","-22.30000","","1024461533","Purchase EL BLOQUE PUERTO RICO , #1 Calle Chile, SAN JUAN,","","Debit Card","45631.65000","","Purchase EL BLOQUE PUERTO RICO , #1 Calle Chile, SAN JUAN,"
"2026011717073533,742202,601,180,001","1/17/2026","1/18/2026","Debit","-37.42000","","1024461534","Purchase TICKETERA* SINFONICA , 304 Ponce de Leon Avenu, SAN JUAN,","","Debit Card","45653.95000","","Purchase TICKETERA* SINFONICA , 304 Ponce de Leon Avenu, SAN JUAN,"
